Status ;WCAG Sucess criterias;Level;Responsible ;Evaluted ;Needs to be done ;Comments ;Process 
1;2.1.4 Character Key Shortcuts;A;Younite;Yes;;No single-char shortcuts without modifier in CU; team QA pass Mar 2026.;
1;2.2.1 Timing Adjustable;A;NA;No;;;
1;2.2.2 Pause, Stop, Hide;A;Younite;Yes;;Video/videobook/360 pause+hide; auto-dismiss toasts; team QA pass Mar 2026.;
1;2.2.3 No Timing;AAA;NA;No;;;
1;2.2.4 Interruptions;AAA;NA;No;;;
1;2.2.5 Re-authenticating;AAA;NA;No;;;
1;2.2.6 Timeouts;AAA;NA;No;;;
1;2.3.1 Three Flashes or Below Threshold;A;Younite;Yes;;No flashing content in current CU build (team review Mar 2026); re-check new lights/VFX before ship.;
1;2.3.2 Three Flashes;AAA;Younite;No;;;
1;2.3.3 Animation from Interactions;AAA;Younite ?;No;;;
1;2.4.1 Bypass Blocks;A;Younite;Yes;;Skip-to-main link in StreamOnlyWindow.;
1;2.4.2 Page Titled;A;Younite;Yes;;document.title synced via i18n.;
1;2.4.3 Focus Order;A;Younite;Partial;;Skip link + onboarding + modal traps; seat dropdown Tab/arrow order; Quick settings inert background.;
1;2.4.4 Link Purpose (In Context);A;Younite;Partial;;Icon buttons have aria-label; link text localized.;
1;2.4.5 Multiple Ways;AA;Kokokaka ;No;;IA/design: multiple ways to find content.;
1;2.4.6 Headings and Labels;AA;Younite;Partial;;Form labels on search/chat; some dev-only gaps.;
1;2.4.7 Focus Visible;AA;Younite;Yes;;:focus-visible ring in index.css.;
1;2.4.8 Location;AAA;Kokokaka, Younite;;;;
1;2.4.9 Link Purpose (Link Only);AAA;NA;;;;
1;2.4.10 Section Headings;AAA;Kokokaka;;;;
1;2.4.11 Focus Not Obscured (Minimum);AA;Younite;Partial;;scroll-margin on :focus-visible (2.4.11 minimum).;
1;2.4.12 Focus Not Obscured (Enhanced);AAA;Younite;;;;
1;2.4.13 Focus Appearance;AAA;Younite;;;;
1;2.5.1 Pointer Gestures;A;Younite;Partial;;Bird-eye: wheel zoom (desktop) + MMB/Shift+LMB rotate; pinch/twist (touch) need design +/- (zoom) and rotate alternative — see WCAG_FURTHER_ROUNDS.md.;
1;2.5.2 Pointer Cancellation;A;Younite;Yes;;CU QA Mar 2026: buttons activate on click (drag-off cancels); native range sliders OK (live adjust not down-only commit).;
1;2.5.3 Label in Name;A;Younite;Partial;;Visible labels match accessible names on key controls.;
1;2.5.4 Motion Actuation;A;NA;;;;
1;2.5.5 Target Size;AAA;Younite;;;;
1;2.5.6 Concurrent Input Mechanisms;AAA;Kokokaka,Younite;;;;
1;2.5.7 Dragging Movements;AA;Kokokaka,Younite;Partial;;Drag mainly on map/stream; alternatives via buttons.;
1;2.5.8 Target Size (Minimum);AA;Kokokaka, Younite;Partial;;48px CU chrome buttons; onboarding dots; pin-only map markers min 44px hit area.;
;Understandable (Begriplig);;;;;;
1;3.1.1 Language of Page;A;Younite;Yes;;html lang from i18n.;
1;3.1.2 Language of Parts;AA;Younite;Partial;;lang on page; in-content locale switching limited.;
1;3.1.3 Unusual Words;AAA;Our Normal;;;;
1;3.1.4 Abbreviations;AAA;Our Normal;;;;
1;3.1.5 Reading Level;AAA;Our Normal;;;;
1;3.1.6 Pronunciation;AAA;Our Normal;;;;
1;3.2.1 On Focus;A;Younite;Partial;;No unexpected focus change on focus alone in CU forms.;
1;3.2.2 On Input;A;Younite;Partial;;Settings/search do not auto-submit on input.;
1;3.2.3 Consistent Navigation;AA;Kokokaka;No;;Design: consistent navigation patterns.;
1;3.2.4 Consistent Identification;AA;Kokokaka, Younite;Partial;;Consistent iconography for close/settings across CU.;
1;3.2.5 Change on Request;AAA;Kokokaka, Younite;;;;
1;3.3.1 Error Identification;A;Kokokaka, Younite;Partial;;Seat: Kit route failures via role=alert (visible, engineering copy). Non-seat route failures: sr-only interim; visible identification needs design per flow.;
1;3.3.2 Labels or Instructions;A;Younite, Our normal;Partial;;Seat form labels/placeholders + sr-only hint; visible copy only from design; Quick settings event label.;
1;3.3.3 Error Suggestion;AA;Younite, Kokokaka;Partial;;Seat: visible suggestion lines (engineering copy, kept for now). Non-seat: sr-only interim; visible suggestions blocked on design (restroom/quiet/directions cases).;
1;3.3.4 Error Prevention (Legal, Financial, Data);AA;NA;;;;
1;3.3.5 Help;AAA;Kokokaka, Younite ;;;;
1;3.3.6 Error Prevention (All);AAA;?;;;;
1;3.3.7 Redundant Entry;A;NA;;;;
1;3.3.8 Accessible Authentication (Minimum);AA;NA;;;;
1;3.3.9 Accessible Authentication (Enhanced);AAA;NA;;;;
;Robust (Robust);;;;;;
1;4.1.1 Parsing;A;NA;;;;
1;4.1.2 Name, Role, Value;A;Younite;Partial;;Comboboxes; modals; map markers; search chips; media toolbars; interaction speech/video triggers; flat video player; seat avoidance toggles. Remaining: dev-only widgets; spot-check new controls.;
1;4.1.3 Status Messages;AA;Younite;Partial;;Evaluated: loading, chat, toasts, nav metrics/turn hints; seat visible route alert (engineering copy, kept for now). POI/restroom/quiet/directions: sr-only interim (RouteErrorAlert); visible per-case errors blocked on design (Round D).;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
